路線,地点標名称,緯度（度）,緯度（分）,緯度（秒）,経度（度）,経度（分）,経度（秒）
4,0,35,41,2.7,139,46,28.2
4,0.1,35,41,5.8,139,46,28.2
4,0.2,35,41,8.5,139,46,27.2
4,0.4,35,41,10.6,139,46,26.3
4,0.5,35,41,18.2,139,46,23
4,0.522,35,41,19.7,139,46,22.4
4,0.6,35,41,19.9,139,46,25.5
4,0.7,35,41,21.1,139,46,29.2
4,0.786,35,41,22.1,139,46,32.3
4,0.9,35,41,25.8,139,46,30.9
4,1,35,41,28.4015,139,46,29.1272
4,1.1,35,41,31.9,139,46,29.4
4,1.2,35,41,35,139,46,29.8
4,1.4,35,41,41.4,139,46,30.8
4,1.5,35,41,44.7,139,46,31.2
4,1.6,35,41,47.9,139,46,31.8
4,1.8,35,41,54.3,139,46,32
4,1.9,35,41,57.5,139,46,31.9
4,2,35,42,0.6582,139,46,31.2714
4,2.1,35,42,4.1,139,46,32.2
4,2.2,35,42,7.1,139,46,32.5
4,2.4,35,42,13.6,139,46,33.2
4,2.6,35,42,19.9,139,46,33.9
4,2.8,35,42,26.6,139,46,34.7
4,2.9,35,42,29.7,139,46,34.9
4,3,35,42,33.0917,139,46,34.5878
4,4,35,43,0.6631,139,46,52.58
4,5,35,43,28.2792,139,47,14.3664
4,6,35,43,56.2737,139,47,33.2635
4,7,35,44,25.2254,139,47,51.9802
4,8,35,44,57.6681,139,47,57.4985
4,9,35,45,28.3576,139,48,7.9618
4,10,35,46,0.2781,139,48,12.7812
4,11,35,46,32.6654,139,48,11.3331
4,12,35,47,4.8015,139,48,10.2343
4,13,35,47,36.7784,139,48,8.2582
4,14,35,48,9.3494,139,48,5.5128
4,14.6,35,48,25.1778,139,47,57.9957
4,15,35,48,33.5283,139,47,45.2068
4,15.2,35,48,38.8646,139,47,39.5975
4,15.4,35,48,44.9519,139,47,36.7659
4,18.2,35,50,14.7805,139,47,23.1672
4,18.4,35,50,20.9214,139,47,20.8511
4,18.6,35,50,27.4361,139,47,18.4217
4,18.8,35,50,33.4084,139,47,16.202
4,19,35,50,39.6875,139,47,13.8313
4,19.2,35,50,46.0033,139,47,11.4821
4,19.4,35,50,51.7001,139,47,9.1782
4,19.6,35,50,58.192,139,47,6.9201
4,19.8,35,51,4.3665,139,47,4.5174
4,20,35,51,10.7694,139,47,2.2124
4,20.2,35,51,16.8701,139,46,59.8464
4,20.4,35,51,23.1067,139,46,57.5242
4,20.6,35,51,29.4511,139,46,55.0492
